54,哈利·波特与死亡圣器（下）,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2011/8/4,9
55,大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014/10/24,8.8
56,盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010/9/1,9
57,辩护人,"宋康昊,郭度沅,吴达洙",2013-12-18(韩国),8.8
58,致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006-10-17(意大利),8.8
59,蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",2012/8/27,8.9
60,菊次郎的夏天,"北野武,关口雄介,岸本 加世子",2020/9/25,8.8
61,大话西游之月光宝盒,"周星驰,莫文蔚,吴孟达",2014/10/24,9.6
62,海洋,"雅克·贝汉,姜文,兰斯洛特·佩林",2011/8/12,8.9
63,指环王3：王者无敌,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2004/3/15,9.2
64,霸王别姬,"张国荣,张丰毅,巩俐",1993/7/26,9.5
65,放牛班的春天,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004/10/16,8.8
66,千与千寻,"柊瑠美,周冬雨,入野自由",2019/6/21,9.3
67,哈尔的移动城堡,"倍赏千惠子,木村拓哉,美轮明宏",2004-09-05(意大利),8.9
68,指环王1：护戒使者,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2002/4/4,9
69,指环王2：双塔奇兵,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2003/4/25,9.1
70,无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,简·林奇",2012/11/6,9
71,魂断蓝桥,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",1940-05-17(美国),9.2
72,素媛,"李甄,薛耿求,严智苑",2013-10-02(韩国),9.1
73,天空之城,"寺田农,鹫尾真知子,龟山助清",1992/5/1,9
74,7号房的礼物,"柳承龙,郑镇荣,朴信惠",2013-01-23(韩国),8.9
