排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
108,罗季翁斯-库鲁茨,篮网,5.50,2.80-5.00,55%,0.00-2.00,0%,0.00-0.50,0%,4,14.50
108,马文-威廉姆斯,,5.50,2.10-4.70,44.7%,1.00-2.30,43.5%,0.30-0.30,100%,10,17.90
110,韦尼恩-加布里埃尔,开拓者,5.30,2.20-3.80,60%,0.50-1.20,40%,0.20-0.50,50%,4,13.30
110,布拉德-沃纳梅克,凯尔特人,5.30,1.90-4.30,44.7%,0.90-1.90,47.6%,0.60-0.60,85.7%,11,17.00
112,杰迈克尔-格林,快船,5.20,2.00-3.60,55%,0.70-1.50,47.1%,0.40-0.60,71.4%,11,16.20
113,马基夫-莫里斯,湖人,5.10,2.00-4.70,42.9%,0.90-2.90,30.8%,0.20-0.30,66.7%,9,18.40
114,亚卡尔-桑普森,步行者,5.00,2.50-4.00,62.5%,0.00-0.00,0%,0.00-0.00,0%,4,12.50
115,肯-伯奇,魔术,4.80,1.40-2.80,50%,0.00-0.00,0%,2.00-2.20,90.9%,5,17.80
116,扎南-穆萨,篮网,4.70,0.70-3.70,18.2%,0.00-2.00,0%,3.30-4.70,71.4%,3,13.00
117,托里-克雷格,掘金,4.60,1.70-4.20,39.2%,0.80-2.50,30%,0.50-0.80,60%,12,21.40
117,马里奥-海佐尼亚,开拓者,4.60,1.80-4.40,40.9%,0.40-1.40,28.6%,0.60-0.80,75%,5,13.60
119,奥斯汀-里弗斯,火箭,4.40,1.60-4.90,31.5%,0.70-2.70,26.7%,0.60-0.60,85.7%,11,17.00
120,贾维尔-麦基,湖人,4.30,2.10-3.00,70.8%,0.00-0.00,0%,0.00-0.00,0%,8,11.80
121,韦斯利-艾旺杜,魔术,4.20,1.20-4.00,30%,0.80-1.40,57.1%,1.00-1.60,62.5%,5,15.20
122,安德烈-伊格达拉,热火,4.10,1.60-3.10,50%,0.60-1.90,29.4%,0.40-0.60,80%,9,20.90
123,帕特-康诺顿,雄鹿,4.00,1.50-3.50,42.9%,0.80-2.30,34.8%,0.20-0.20,100%,10,17.10
123,罗伯特-威廉姆斯,凯尔特人,4.00,1.90-2.50,76%,0.00-0.10,0%,0.20-0.50,40%,10,12.20
123,杰雷米亚-马丁,篮网,4.00,1.30-4.70,28.6%,1.00-1.70,60%,0.30-0.30,100%,3,9.00
126,本-麦克勒摩,火箭,3.50,1.20-3.10,38.7%,1.10-2.70,40.7%,0.00-0.00,0%,10,11.00
126,格兰特-威廉姆斯,凯尔特人,3.50,1.10-1.70,63.2%,0.70-1.10,66.7%,0.60-0.90,70%,11,10.90
128,马特-托马斯,猛龙,3.10,1.30-2.10,61.9%,0.50-1.20,41.7%,0.00-0.00,0%,10,8.40
129,纳伦斯-诺埃尔,雷霆,3.00,1.10-2.40,47.1%,0.00-0.10,0%,0.70-1.40,50%,7,13.90
130,道格-麦克德莫特,步行者,2.50,1.00-3.80,26.7%,0.50-2.50,20%,0.00-0.00,0%,4,13.50
131,小德里克-琼斯,热火,2.40,0.90-1.40,60%,0.40-0.90,50%,0.30-0.70,40%,7,8.00
132,迈克尔-基德-吉尔克里斯特,独行侠,2.30,0.70-2.30,28.6%,0.30-1.50,22.2%,0.70-1.00,66.7%,6,9.20
132,TJ-麦康奈尔,步行者,2.30,1.00-2.70,37.5%,0.00-0.00,0%,0.30-0.70,50%,3,9.30
132,Donta Hall,篮网,2.30,1.00-1.70,60%,0.00-0.00,0%,0.30-1.30,25%,3,6.70
135,梅森-普拉姆利,掘金,2.00,0.80-1.70,50%,0.00-0.10,0%,0.30-0.50,66.7%,12,10.30
135,埃德蒙-萨姆纳,步行者,2.00,0.70-2.30,28.6%,0.00-1.00,0%,0.70-0.70,100%,3,13.70
137,谢米-奥杰莱,凯尔特人,1.90,0.60-2.40,25%,0.50-2.10,23.8%,0.20-0.20,100%,10,9.90
138,马蒂斯-赛布尔,76人,1.80,0.80-1.80,42.9%,0.20-1.00,25%,0.00-0.00,0%,4,18.80
139,迈克-斯科特,76人,1.50,0.20-1.20,20%,0.00-0.50,0%,1.00-1.00,100%,4,5.00
139,托尼-布拉德利,爵士,1.50,0.30-1.50,22.2%,0.00-0.00,0%,0.80-1.20,71.4%,6,8.00
141,朱万-摩根,爵士,1.40,0.40-1.70,25%,0.30-1.40,20%,0.30-0.90,33.3%,7,12.30
142,兰斯-托马斯,篮网,1.30,0.30-1.70,20%,0.00-0.70,0%,0.70-1.30,50%,3,5.70
143,富尔坎-科尔克马兹,76人,0.80,0.00-1.80,0%,0.00-1.50,0%,0.80-1.20,60%,4,10.00
144,特伦斯-曼,快船,0.40,0.20-0.40,40%,0.00-0.20,0%,0.00-0.00,0%,11,2.30
